",",Notes,Year,Country,Director,Subtitles,Link 1,Link 1
The Naked Kiss,,1964,America,Samuel Fuller,no,https://drive.google.com/open?id=1smJoxLVTH2ZRDDkOJpP4aYWxH0gCkClStQ,
Film  ,,1965,America,Alan Schneider,no dialog,https://drive.google.com/open?id=1s1h_TQWvE7KRapjcHLkECfGf0JUGXAHv4Q,
The Knack... And How To Get It,,1965,America,Richard Lester,no,https://drive.google.com/open?id=1MZ3ZWlwpbaFtWFtzCfICCkyPatuSs6Hcog,
Reflections in a Golden Eye,,1967,America,John Huston,no,https://drive.google.com/file/d/0BzpziAHaQhY7bW9oUUo3Z0NJTk0/view,
Faces,,1968,America,John Cassavetes,yes,https://drive.google.com/file/d/1BZl_y-nOawzPDkrzmaTLYvGV_dTnzenikg/view,
Take the Money and Run,,1969,America,Woody Allen,yes,https://drive.google.com/open?id=1Yp4wOPV4h_sFbcPXxDrTXMYGjFmhGMn-wA,
That Cold Day in the Park,,1969,America,Robert Altman,no,https://drive.google.com/open?id=1PwMkudNPO7DZxrdPIRHSQGnssOdZS_2rsw,
Husbands,,1970,America,John Cassavetes,yes,https://drive.google.com/open?id=1RKN3WEWZeO9v5WrV1E0a1J3sPUhiQ3YJyw,
MASH,,1970,America,Robert Altman,yes,https://drive.google.com/open?id=1Yj91EqYLoW-RvXJfV2kYPSwacTmm6E4gcQ,
McCabe & Mrs. Miller,,1971,America,Robert Altman,yes,https://drive.google.com/open?id=10VIWrK31ft4ibpdWNn9K8YFHOTJeGAF-5w,
Minnie and Moskowitz,,1971,America,John Cassavetes,yes,https://drive.google.com/open?id=1rSjicrMTpsk8SxqN5lhI-v-4SyzY4-eCPA,
The Go-Between,,1971,America,Joseph Losey,no,https://drive.google.com/open?id=1iNZYkOCrCHRXgNKmzvqb6sp0MNPFSR06Qw,
The Hired Hand,,1971,America,Peter Fonda,yes,https://drive.google.com/file/d/1_vhpsnDdn3IuGwZeLkq1h0lcosWjwphDig/view,
Images,,1972,America,Robert Altman,no,https://drive.google.com/open?id=1TkJ7Gk6A0Sq4aZfpF_JeYLaT0boRTGbhxA,
Scarecrow,,1973,America,Jerry Schatzberg,yes,https://drive.google.com/open?id=1efDnRyy2zkhelUBnuE8NJysKbF3_Jax0QQ,
The Long Goodbye,,1973,America,Robert Altman,yes,https://drive.google.com/open?id=1sVDYLTR6Ae8dMs_Zm8NGYmky66zu_bCWfg,
A Woman Under the Influence,,1974,America,John Cassavetes,yes,https://drive.google.com/file/d/1Qm6iOEkc6C5fZdpzBVAFsquVGwCx6B1uDg/view,
The Conversation,,1974,America,Francis Ford Coppola,yes,https://drive.google.com/open?id=1m8lcwrgbQtdx56dLgLmnCTThCbVoafqyIA,
Grey Gardens,,1975,America,"Ellen Hovde, Muffie Meyer, Albert Maysles, David Maysles",no,https://drive.google.com/open?id=1_inJ7diiNIxUVsi_pJq4Mt8zPcYz05qQNg,
Nashville,,1975,America,Robert Altman,yes,https://drive.google.com/open?id=1w-3TZoq2jNQ5CC9xGtmSY9IPRRh06PZndA,
Carrie,,1976,America,Brian De Palma,yes,https://drive.google.com/open?id=1PE3rYjSuX8kAD7nNnz2i70HXQmS1HaXzCw,
Taxi Driver,,1976,America,Martin Scorsese,yes,https://drive.google.com/open?id=164gEKjEqqpQhmo5KpWVk4Bsx8MSQ6U0TGA,
The Killing Of A Chinese Bookie,,1976,America,John Cassavetes,yes,https://drive.google.com/open?id=12HD1EhCgp8gOsy6h1BhwSmpqPsPEnAjLdg,
3 Women,,1977,America,Robert Altman,yes,https://drive.google.com/open?id=1SB8-9fmstCQubYXVe3fj8yTm6mQ8A3kVxg,
Eraserhead,,1977,America,David Lynch,yes,https://drive.google.com/open?id=1KnPLQiLRaa5ZL17lcYLovBIh3CMp73s72A,
Opening Night,,1977,America,John Cassavetes,yes,https://drive.google.com/file/d/1i_iUmUzkUGkc1iKDCxBiSAZ21M63egeZAw/view,
Days of Heaven,,1978,America,Terrence Malick,yes,https://drive.google.com/open?id=1T5KPolM4MTYiL97wboei2-E7NfJCZNKeoA,
All That Jazz,,1979,America,Bob Fosse,yes,https://drive.google.com/open?id=1kYtjkSSQiK5bpdzpYTxEj3vi2EEvk-z2oA,
Apocalypse Now,,1979,America,Francis Ford Coppola,yes,https://drive.google.com/open?id=1zcnOJhlYQL60XSeB0pNfdmbS82QddKUJHg,
Manhattan,,1979,America,Woody Allen,yes,https://drive.google.com/open?id=1Js2vaoqk3nff8tJrjcRvssWI4kDaqk8dMA,
Wise Blood,,1979,America,John Huston,no,https://drive.google.com/open?id=1A-GBFYWVUX8P2rt32PMvC41DX9XhY-F5Fg,
Gloria,,1980,America,John Cassavetes,yes,https://drive.google.com/open?id=1P8NMk6so_hglSkc2zAw6iEW0fGNyxjSDzQ,
White Dog,,1982,America,Samuel Fuller,yes,https://drive.google.com/open?id=14JalNkW8lC9dYej30vOX5XCUi3heJAVcTw,
Zelig,,1983,America,Woody Allen,yes,https://drive.google.com/open?id=1fQKIafFUO18-3fP3as3SflsC-N9cIijEGw,
Choose Me,,1984,America,Alan Rudolph,yes,https://drive.google.com/file/d/1zhejBBnR_aPBOg0hWPKLO2nBE8U0LcBo6A/view,
Love Streams,,1984,America,John Cassavetes,yes,https://drive.google.com/file/d/1f4Th-ah4apH70MriHLwcLcXPwn6eQLyV_w/view,
Stop Making Sense  ,,1984,America,Jonathan Demme,no dialog,https://drive.google.com/open?id=1p0hiW16yQjdboa1w2UR6wi1euQ5oqa1oQg,
Stranger Than Paradise,,1984,America,Jim Jarmusch,yes,https://drive.google.com/open?id=1hHd65cIWoEUfJfriU9d8qD2bM7cp2z1IQg,
Chronos,,1985,America,Ron Fricke,no dialog,https://drive.google.com/open?id=104u2DJikY3Twf7aHbvAwtYi0WyxiIIMBIw,
The Purple Rose of Cairo,,1985,America,Woody Allen,yes,https://drive.google.com/open?id=1pZLCeRQVg85lvUe5kpD4ytzF10DaLG7B0g,
Blue Velvet,,1986,America,David Lynch,yes,https://drive.google.com/open?id=1RfvFhQ93oReYqPIe_8cfDXsWW2zLJaV14g,
Down By Law,,1986,America,Jim Jarmusch,yes,https://drive.google.com/open?id=1jIwT7GCgqZoquSpcagE9MPNsZuHdyHyK5w,
Rain Man,,1988,America,Barry Levinson,yes,https://drive.google.com/open?id=1cpwdU7cABaMR6ttMJMibq_FGiHxH5Lcl3g,
The Thin Red Line,,1988,America,Terrence Malick,yes,https://drive.google.com/open?id=1WKJupoEMMa2AcjRAsb2vdwtfEGiKFe-XwQ,
Crimes and Misdemeanors,,1989,America,Woody Allen,yes,https://drive.google.com/open?id=1qAlYNZunzMsvjr1ePmaV_NSkUAp2bA-X9w,
Mystery Train,7.6 asiatique policier,1989,America,Jim Jarmusch,yes,https://drive.google.com/open?id=1bv_jPFk1r1P69HLyaBengLQhs8ujmvu6oA,
"Sex, Lies, And Videotape",,1989,America,Steven Soderbergh,yes,https://drive.google.com/open?id=1ac3TC1elY5p2WoI44N8oVh336vOotcMJCQ,
Wild at Heart,7.2 polar,1990,America,David Lynch,yes,https://drive.google.com/open?id=1g84z4YK3nrYU95EbLXkS_gfcTur_2ga3uw,
Barton Fink,,1991,America,Coen Brothers,yes,https://drive.google.com/open?id=1pPj37fAY7iy_gXpdHTSF2MYgj-Tbpu8I6Q,
