",",Notes,Year,Country,Director,Subtitles,Link 1,Link 1
The Barbarian Invasions,,2003,Canada,Denys Arcand,yes,https://drive.google.com/open?id=1xK3MCH2MBU64BKUVgSl1iQzjraUn0AN1Bw,
A History of Violence,,2005,Canada,David Cronenberg,yes,https://drive.google.com/open?id=1tIvly0q_Urk9s2xwJT1EebebOB9S6Tl1uQ,
Manoel’s Destinies E1,,1984,Chile,Raúl Ruiz,yes,https://drive.google.com/open?id=1agKPt9Bh67OAyfWXv6Ok2CU_VAZmG6bGJg,
Manoel’s Destinies E2,,1984,Chile,Raúl Ruiz,yes,https://drive.google.com/open?id=1Wc-PpCtDHrS8mggY8JWlqbSARqFfiLWTbg,
Manoel’s Destinies E3,,1984,Chile,Raúl Ruiz,yes,https://drive.google.com/open?id=1gpL1K4mNHDDQFvaZHNWUFFrhcUJU1UfNMg,
Mysteries Of Lisbon,,2010,Chile,Raúl Ruiz,yes,https://drive.google.com/open?id=1dsGvTC7ZLAULqNKLe7vN2QOmVaGKZmUV4w,
A Fantastic Woman,,2017,Chile,Sebastián Lelio,yes,https://drive.google.com/open?id=1np69V7WXZPs7grtblDS4gSD_mRXfoeKOrQ,
As Tears Go By,,1988,China,Wong Kar-wai,no,https://drive.google.com/open?id=1mLdyFYbuzbRxA8Ss5rT9olGywY0ZheqhlA,
School on Fire,,1988,china,Ringo Lam,no,https://drive.google.com/open?id=1aDjCQ-S_Lfk0D0m8DmR7fba_tKXFRkvY2Q,
A Fishy Story,,1990,China,Anthony Chan,no,https://drive.google.com/open?id=1UC_ssLviVXXnbN47NZjOMMQ4Ko1GTIPbHQ,
Days of Being Wild,,1990,China,Wong Kar-wai,yes,https://drive.google.com/open?id=1dVSzSKGQoXM6KPD7ffnqPL5wVTcqdkH9iA,
The Story of Qiu Ju,,1992,China,Zhang Yimou,yes,https://drive.google.com/open?id=1nnExLbgNi7m3GRGZJewUJK35S0ZVWMjJlw,
Farewell My Concubine,,1993,China,Chen Kaige,yes,https://drive.google.com/open?id=1grmCxuaMStL985w1GHpbB-822dekwbOgiw,
The Blue Kite,,1993,china,Tian Zhuangzhuang,no,https://drive.google.com/open?id=1T3mQNTqCsbWR_TIYRpdxsGgsXN1NI6xTWw,
Chungking Express,,1994,China,Wong Kar-wai,yes,https://drive.google.com/open?id=1mCkvQQr3s9OtY91lbFwsA0C5d2wFIUOBag,
In The Heat of The Sun,,1994,china,Jiang Wen,yes,https://drive.google.com/open?id=1nCK-bTjhTE0L6A01EcNg_CScYm675EXwGw,
Fallen Angels,,1995,China,Wong Kar-wai,yes,https://drive.google.com/open?id=1e0FlNLPA5pxlHSOZ438KMI5uRfMH-RvjFA,
Xiao Shan Going Home,,1995,china,Jia Zhangke,no,https://drive.google.com/open?id=1FEuKtvER8xYXYkvbvC3ITgvroP4Ru0vHog,
Pickpocket,,1997,china,Jia Zhangke,yes,https://drive.google.com/open?id=1Gtyyd1BYveOUMQ7YKpx5TD0HNynBFBOQYA,
Seventeen Years,,1999,China,Zhang Yuan,no,https://drive.google.com/open?id=1PH3Xz-PDwFsmuOM-c5HhKyHqar8insoqJA,
The Road Home,,1999,China,Zhang Yimou,yes,https://drive.google.com/open?id=1lbW7oHHU2JobpsMUwB0YbjX-L8p_IuSF0g,
Devils on the Doorstep,,2000,china,Jiang Wen,yes,https://drive.google.com/open?id=1fQFoG3xYjEM83gTlyuXPUOnKgX80TtCS6Q,
Happy Times,,2000,China,Zhang Yimou,yes,https://drive.google.com/open?id=1aypyZQqUJbataALXEl6s32oabL0uJUVp3A,
In the Mood for Love,,2000,China,Wong Kar-wai,yes,https://drive.google.com/open?id=17cL6thaYXCRtOOV_37rN3JFe7zPYSypwWQ,
Tie Xi Qu West of the Tracks E1,,2002,China,Wang Bing,no,https://drive.google.com/open?id=1l3gMfKQW8BU98G8K39ul1tbzULuG1SopwA,
Tie Xi Qu West of the Tracks E2,,2002,China,Wang Bing,no,https://drive.google.com/open?id=1ydoIjjjbRQP9zcD1lOIOGA9sPsGvrrcwfA,
Tie Xi Qu West of the Tracks E3,,2002,China,Wang Bing,no,https://drive.google.com/open?id=19UBSjF4ndyfl-ap1xvlCKo--kLSHIP3aog,
Tie Xi Qu West of the Tracks E4,,2002,China,Wang Bing,no,https://drive.google.com/open?id=1JJoAci5wKluTeaDYORmssjVjmpZqH_AuZQ,
Unknown Pleasures,,2002,china,Jia Zhangke,yes,https://drive.google.com/open?id=1aUPObG3dg3eocQZW-u8WFIbKtc4lYomhoA,
The World,,2004,china,Jia Zhangke,yes,https://drive.google.com/file/d/1R8ZHgxeLaX2NJCu05NKlaCLmLJravziBKA/view,
Oxhide,,2005,china,Liu Jiayin,yes,https://drive.google.com/open?id=1sbLfX5D7oajy-Arfrq-lnrzwAjJAwUZflg,
Still Life,,2006,china,Jia Zhangke,yes,https://drive.google.com/open?id=1OYpPXandUmRp4m1jiBPyr_R6lMstRqznhQ,
Tuya’s Marriage,,2006,China,Wang Quan’an,yes,https://drive.google.com/open?id=1lXTg__gITZc0hHKhENxtHFoXTTUDsgII-w,
Cry Me A River,,2008,china,Jia Zhangke,no,https://drive.google.com/open?id=1j_J_fb86Mi7tUL5JW3osAAXtTUFliwbBSA,
Ghost Town,,2009,china,Dayong Zhao,no,https://drive.google.com/file/d/1J-daX-fNUlEMlCKMO78cWi2qLfNd8qmGMQ/view,
Man with No Name,,2009,China,Wang Bing,no,https://drive.google.com/open?id=1P6d-0jPU6g5a03i-awx66g337_qkBCoj2w ,
The Ditch,,2010,China,Wang Bing,no,https://drive.google.com/open?id=1RIpl2m9CsHMNtosSWfo7Z7Zvyfncc3Z-ug,
A Touch of Sin,,2013,china,Jia Zhangke,yes,https://drive.google.com/file/d/1pMfT6mpe3gTh9x3_uNUsMnUl4LrgMgL7zA/view,
"Black Coal, Thin Ice",,2014,china,Diao Yinan,yes,https://drive.google.com/file/d/1Dk3AwPilVxtqS7yW9Wt1bjIsVtXLZ3GHXw/view,
Another Year,,2016,china,Shengze Zhu,no,https://drive.google.com/open?id=1AS6_ohIMfJWyHRe-3FVvWqyHEyxYW-AcDA,
Bitter Money,,2016,China,Wang Bing,no,https://drive.google.com/file/d/1UML5MtKqkbILdClLLW_Kc379DPCftojPDw/view,
Human Flow,,2017,China,Ai Weiwei,no,https://drive.google.com/file/d/1cGxYMIn3dT0ZJzYAocBIDq3_-XaPbLfS/view,
The Birch Tree,,1967,Croatia,Ante Babaja,no,https://drive.google.com/open?id=1ncI6YKpVH8dbyOi98ptwjC3ZzCltQ0Rsyw,
You Love Only Once,,1981,Croatia,Rajko Grlić,no,https://drive.google.com/open?id=1jgJXHWEVpovbnZ8sCi6Go0w-ojo5TpdTMw,
Long Dark Night,,2004,Croatia,Antun Vrdoljak,no,https://drive.google.com/open?id=111A5Y1HmFFKKXbpYZr-gXaC4rlFFz9XsTQ,
At the Terminus,,1957,Czech,"Ján Kadár, Elmar Klos",yes,https://drive.google.com/open?id=1CI0iPsnBNZp6reg6m33KuImZ8ZMBXaznhQ,
Diamonds of the Night,,1964,Czech,Jan Němec,yes,https://drive.google.com/open?id=19fw2KdXqpAQjDvNPDsrPB9OxS_LeUVkOeg,
Intimate Lighting,,1965,Czech,Ivan Passer,no,https://drive.google.com/open?id=1uvwVy1zWJ99o2N0PzRP9bbCKRWU7nomyXQ,
The Junk Shop,,1965,Czech,Juraj Herz,no,https://drive.google.com/open?id=1g4uw9BfUwlK_Q22NmYQ3PxhUshmEOs9VKQ,
The Shop on Main Street,,1965,Czech,"Ján Kadár, Elmar Klos",yes,https://drive.google.com/open?id=1yVIO8xmnAbZVmFDijiENadl1nhm3cv1nbA,
Closely Watched Trains,,1966,Czech,Jiř Menzel,yes,https://drive.google.com/file/d/1TOtzR38bdg3DvNujIgFitZDqDJdlnciFwQ/view,
Kocár do Vídne,,1966,Czech,Karel Kachyňa,yes,https://drive.google.com/file/d/1WJaeNo_eeJXY4u2V9dMFV_JIFOm2RX8QEw/view,
Kolja,,1966,Czech,Jan Svěrák,yes,https://drive.google.com/open?id=1_abvK5TQALRgDKtkzFPOAJCrgRL0Aoly-w,
Marketa Lazarová,,1967,Czech,František Vláčil,yes,https://drive.google.com/open?id=10DZpbfFTTBrK7mwnlo96Nb7rpNd2v9HWlQ,
The Cremator,,1968,Czech,Juraj Herz,yes,https://drive.google.com/open?id=1DQweHE_wPwBGL9zYCPcjZURA20UysveHhQ,
The Valley of the Bees,,1968,Czech,František Vláčil,yes,https://drive.google.com/open?id=1Tsyh_gpIUBPH2MH2MU0EbwYPKp-Kw-fjFA,
Larks on a string  ,,1969,Czech,Jiř Menzel,no,https://drive.google.com/open?id=1WbZy3YUhgxKPwsFtYi86mrPESvkvFUEk7Q,
Case for a Rookie Hangman,,1970,Czech,Pavel Juráček,yes,https://drive.google.com/open?id=1h6URiAOtrK4ogKpPawlC-5zo7KSwJGgGcA,
The Ear,,1970,Czech,Karel Kachyňa,yes,https://drive.google.com/file/d/1vOVveb9UBDJOF3FD1HN6LuBXiRfCSzCBkQ/view,
Valerie and Her Week of Wonders,,1970,Czech,Jaromil Jireš,yes,https://drive.google.com/open?id=1LBAnruW0IzZfSmuK9MoLHh2crMKrPdX4cA,
Day for My Love,,1977,Czech,Juraj Herz,no,https://drive.google.com/open?id=1XWsNyK8G4NPckXNBa4W_jtdx3myM7QCT3g,
Alice,,1988,Czech,Jan Švankmajer,yes,https://drive.google.com/open?id=1Oui14oorUQNm9FWTesRAX6PYvSx4FWA5DQ,
Little Otik,,2000,Czech,Jan Švankmajer,yes,https://drive.google.com/open?id=138RnIxWM5D6f2TiK5_OXCym48Ni5vBjZ7g,
Red Meadows,,1945,Denmark,"Lau Lauritzen Jr., Bodil Ipsen",no,https://drive.google.com/open?id=1IIeE2CWCeJI6PzWjNad2QH7-8VultVRtKA,
Ordet,,1955,Denmark,Carl Theodor Dreyer,yes,https://drive.google.com/open?id=1gQT41o-iTC8ir4UqBa3rwQYi444bgKXTmg,
Gertrud,,1964,Denmark,Carl Theodor Dreyer,yes,https://drive.google.com/open?id=1o3oJozL7bhUQmLZqv6VqGtxsRa_aBEDTgw,
Babette's Feast,,1987,Denmark,Gabriel Axel,yes,https://drive.google.com/open?id=1HOpkOvAwHymIMNKvtTROdvq5FxvRTulxpw,
Pelle The Conqueror,,1987,Denmark,Bille August,yes,https://drive.google.com/open?id=1HhygnP3Q-zLuLHQdHtKY7WflJWRH3pALyA,
The Best Intentions E1,,1991,Denmark,Bille August,yes,https://drive.google.com/open?id=1Id1nRlWyO2Rzl6c1rIFUcdlmiAeeMI-4cQ,
The Best Intentions E2,,1991,Denmark,Bille August,yes,https://drive.google.com/open?id=1pomz0TtXl1WAHOzguKcEUWGv6sTcDEu9SA,
The Best Intentions E3,,1991,Denmark,Bille August,yes,https://drive.google.com/open?id=1_JZiBvr8Jwsho5-WIbmT20jAkFbNxPtqUA,
The Best Intentions E4,,1991,Denmark,Bille August,yes,https://drive.google.com/open?id=1eimIrDVLT6hefcp7B2xJDgkn-Mr3QyWsZg,
Pusher,,1996,Denmark,Nicolas Winding Refn,yes,https://drive.google.com/open?id=15XuB0z_Rl4-vGZ7oJ34OchVlHxQGnu_tog,
Dancer in the Dark,,2000,Denmark,Lars von Trier,yes,https://drive.google.com/open?id=1O190ZTPe3bAQ2hFbnzEiU5be8ZzTsNDR_w,
Pusher II,,2004,Denmark,Nicolas Winding Refn,yes,https://drive.google.com/open?id=1oqjOLuRimWkQj_eKheoEHBWeLMb7keYpSQ,
Pusher III,,2005,Denmark,Nicolas Winding Refn,yes,https://drive.google.com/open?id=1tuttSuG1UJ4Be60e0fEkl7wAgGu6CvZSrg,
In a Better World,,2010,Denmark,Susanne Bier,yes,https://drive.google.com/open?id=123gYW8cOS7em-q0XcqWtmpeUctgoAWKu2w,
The 39 Steps,,1935,England,Alfred Hitchcock,yes,https://drive.google.com/open?id=1fbqlWrBlBVmMyWhTTa-qXFmcCz5MqhBCEw,
Foreign Correspondent,,1940,England,Alfred Hitchcock,yes,https://drive.google.com/open?id=1tnY1tDGXCFuIVlkQe_AfCjZJsrJhKcsUrA,
Rebecca,,1940,England,Alfred Hitchcock,yes,https://drive.google.com/open?id=1Bxpfdod5pDcvnlvEyji_K318g2uu1PTrjg,
Brief Encounte,,1945,England,David Lean,yes,https://drive.google.com/open?id=1mlVSdyChajYech-5xZzVGUrghr3or9nHiQ,
Hamlet,,1948,England,Laurence Olivier,no,https://drive.google.com/open?id=1d30EhQUzuO3wQNWDEIOqjZuJGIoLOssfNg,
The Third Man,,1949,England,Carol Reed,yes,https://drive.google.com/open?id=1Yo53EMcKSMFVXRfkMhY9QfsO1YfLIr8OFw,
Hobson's Choice,,1954,England,David Lean,yes,https://drive.google.com/open?id=1OA_R01mRx4Sw185HnU-NiA0meCjr5M4q-g,
Psycho,,1960,England,Alfred Hitchcock,yes,https://drive.google.com/open?id=1WHKY_ZhKV4Yr0NHooLH-TzlwRhFL-jwU9A,
The Loneliness of the Long Distance Runner,,1962,England,Tony Richardson,yes,https://drive.google.com/open?id=1a9DYfTUbELF-thVkWg-CVKpbhUmeTpTmBQ,
The Birds,,1963,England,Alfred Hitchcock,yes,https://drive.google.com/open?id=17YiOmpqoOatpcvZCwAT8h3kqmU3TNiPc,
Cathy Come Home,,1966,England,Ken Loach,no,https://drive.google.com/file/d/1ySz1MNR1UuKRyj5nVGeYVnPbgnd16OKZoA/view,
Mademoiselle,,1966,England,Tony Richardson,yes,https://drive.google.com/open?id=1BeVcGZDT9hTPYEojuQFvDu429ixHIvpBdA,
If,,1968,England,Lindsay Anderson,yes,https://drive.google.com/open?id=1mgmH7glb1Bf28YIRL2kerBzQPVabv3qb_Q,
The Boy Friend,,1971,England,Ken Russell,no,https://drive.google.com/open?id=124CVOolZMxuDd7-uXfYzHptg3SPfK_sQfw,
The Hireling,,1973,England,Alan Bridges,yes,https://drive.google.com/open?id=1ZRo1nEeiZ0RGh9gTnd-BM_r_kxNYpbx3zg,
Edvard Munch,,1974,England,Peter Watkins,yes,https://drive.google.com/file/d/1tsENybr0sbwZ5c422epDDyVPIXMTuLxekg/view,
Wetherby,,1985,England,David Hare,no,https://drive.google.com/open?id=1-IzIa9Ekzikv3N5ho-0Fw7t50GidmqoIQw,
The Mission,,1986,England,Roland Joffé,yes,https://drive.google.com/open?id=1D8ubll_t-pU15QCpqBs7T9Yl_yrD3F82Ow,
Withnail & I,,1987,England,Bruce Robinson ,yes,https://drive.google.com/file/d/1OChI8RR3y5rWTumzavLpZu52CawGXisqnQ/view,
Rosencrantz & Guildenstern Are Dead,,1990,England,Tom Stoppard,no,https://drive.google.com/open?id=1_swZcQtFkuITztNObXpkVHyJhhtLkYVhyQ,
Secrets & Lies,,1996,England,Mike Leigh,yes,https://drive.google.com/open?id=1YMeTqbM78G2kl8GiO0X6HYpodC2UEtwl8A,
All or Nothing,,2002,England,Mike Leigh,yes,https://drive.google.com/file/d/1CinuDVzjEVl_t13obg3mhCGVEJNXUMCmCg/view,
Vera Drake,,2004,England,Mike Leigh,yes,https://drive.google.com/open?id=1RnoCaLQcRryAYiiYIukRCjH6_L9_j-tw2A,
The Wind That Shakes The Barley,,2006,England,Ken Loach,yes,https://drive.google.com/open?id=1MDKq45TmGcBnJGz_-5uMFGPReB8fGukaww,
"I, Daniel Blake",,2016,England,Ken Loach,yes,https://drive.google.com/open?id=1_9zpN5HmziivPoXgEVECG1iKsN2kzRQTmA,
"Harvest 3,000 Years",,1976,Ethiopia,Haile Gerima,no,https://drive.google.com/open?id=1GiQhUGxM8-xgHOQd_zKyqOno9czrkRTHdw,https://drive.google.com/open?id=1AAtzprqCOZIywXMBl0Z0Smcz_d_DbJMIHQ
Bush Mama,,1979,Ethiopia,Haile Gerima,no,https://drive.google.com/open?id=1tiGL930fymmhpfkmt1RgvPjPRj63a7cGQQ,
Crime and Punishment,,1983,Finland,Aki Kaurismäki,yes,https://drive.google.com/open?id=1FAyuw78cVR4juE1lhd2veBHMDBwMXdrUgg,
Calamari Union,,1985,Finland,Aki Kaurismäki,yes,https://drive.google.com/open?id=1EHGiS8SghkAbVTQLYTWdYe2NkFQb6CfNCA,
Shadows in Paradise,,1986,Finland,Aki Kaurismäki,yes,https://drive.google.com/open?id=1YM5bwXpDiZX2CtSFg3GRoi-d9cZ04IHD2w,
Ariel,,1988,Finland,Aki Kaurismäki,yes,https://drive.google.com/file/d/1-jVe_1wx-w-OiFEAh-SiZ98CviuQZaHvdA/view,
Dirty Hands,,1989,Finland,Aki Kaurismäki,no,https://drive.google.com/open?id=1Hn0r7iII_0jwO8B1GbEAZ0Kq9m3ZhxY1Gg,
Leningrad Cowboys Go America,,1989,Finland,Aki Kaurismäki,yes,https://drive.google.com/open?id=19iN3GBbgtpDACOgwR5NFiZcKDKzikmHOBw,
Le Havre,,2011,Finland,Aki Kaurismäki,yes,https://drive.google.com/open?id=1fEujND2Kiuj0Lkj_WZ9H4oK8b00MuNryuQ,
Le bled,,1929,France,Jean Renoir,no,https://drive.google.com/file/d/1bU2z3Xws4Vf5e7GpSVJJkHYdAt9sItT3cg/view,
The Blood of a Poet,,1932,France,Jean Cocteau,yes,https://drive.google.com/open?id=1eBaoBOxJCZD16QwKpN_ijop6gPBhQGOqhg,
L Atalante,,1934,France,Jean Vigo,yes,https://drive.google.com/open?id=1XQ_fQzlN231X_7z8sqH1Lia5cQ62_MaHvw,
Les Affaires publiques,,1934,France,Robert Bresson,yes,https://drive.google.com/open?id=1YvE2YjGGHVZ9sVRPxwo-cSkYmzatH7miFw,
Fun Sunday,,1935,France,Jacques Tati,no,https://drive.google.com/open?id=149Eu8A7u51cnMRM3_zhHfxCkUPvsDmpYtA,
Angels of Sin,,1943,France,Robert Bresson,no,https://drive.google.com/open?id=1t3sFD3bvTBNnhUjVlzwM8LqePYlbKC4NFA,https://drive.google.com/open?id=1M8P9wj3NnqdEBic3ze5sblFz9GuHwaZ3uQ
I Walked with a Zombie,,1943,France,Jacques Tourneur,no,https://drive.google.com/open?id=1BfmosFhQqHGGdL8MLhrtM-gQ7csGyabJ,
Les dames du Bois de Boulogne,,1945,France,Robert Bresson,yes,https://drive.google.com/open?id=1R99BaFWkhsTwSzTpE071W2CYxygDS4LCHw,
The Southerner,,1945,France,Jean Renoir,no,https://drive.google.com/open?id=1sRUltPsYdPNCL-j59Y_03oE8Z9GjHZMzYw,
Beauty and the Beast,,1946,France,Jean Cocteau,yes,https://drive.google.com/open?id=1Oce2eAlSeh81dB66wGO5Aq58MF8Wa_HQhA,
Monsieur Vincent,,1947,France,Maurice Cloche,no,https://drive.google.com/open?id=1oD2F2rI4oPbfxGkbJFzPCBApmQXqeuKKRQ,
The School for Postmen,,1947,France,Jacques Tati,no,https://drive.google.com/open?id=1-pKxiHVdMWJaGLV-FIy3OIE7ZXBVvEquFg,
Jour de Fête,,1949,France,Jacques Tati,yes,https://drive.google.com/open?id=1kh0yGg93qkWOwJ50wOoRkw5y6CcFhGwH9g,
Manon,,1949,France,Henri-Georges Clouzot,no,https://drive.google.com/open?id=1gwFBhSPTAYFawoVxPh0uRZpwbMswr6j3uA,
The Walls of Malapaga,,1949,France,René Clément,no,https://drive.google.com/open?id=1qGtjTMyvnVx9pphS8_knuQaj8FXjkULuBQ,
Les Enfants Terribles,,1950,France,Jean-Pierre Melville,no,https://drive.google.com/open?id=1qUKjPmAXAtWegsUX3PPNxw279rawF1gYwQ,
Orpheus,,1950,France,Jean Cocteau,yes,https://drive.google.com/open?id=1He3eMqR2rMBbuQIL8hyzk07cUd-4Ujuo8w,
Diary of a Country Priest,,1951,France,Robert Bresson,yes,https://drive.google.com/open?id=1MpcaKBNd8HjrSvxjmp33r81vh4zaOBssQw,
Forbidden Games,,1952,France,René Clément,yes,https://drive.google.com/open?id=1KzTRjzyz7XAIODdVAgkwEAkqG4S6LAkwlg,
The Golden Coach,,1952,France,Jean Renoir,no,https://drive.google.com/open?id=1NRwvdI0hePEhkD9I41F75JqKhNDJQVjNIQ,
Monsieur Hulot's Holiday,,1953,France,Jacques Tati,no,https://drive.google.com/open?id=17np3ofqPQ2nMa47ZpzPo3oIS20hzj21bLw,
The Earrings of Madame de,,1953,France,Max Ophüls,yes,https://drive.google.com/open?id=10o-GNd2Pv7Wma8ltErhLtsRqrEhC3PlJ8g,
The Wages Of Fear,,1953,France,Henri-Georges Clouzot,yes,https://drive.google.com/open?id=13TZYpYvk2YHsUp9VltY9FYewuCR6Wzy8Mw,
When You Read This Letter,,1953,France,Jean-Pierre Melville,no,https://drive.google.com/open?id=1k1ff27CmuzgxXgE2g8tUmdSLYreF8ZT68Q,
French Cancan,,1954,France,Jean Renoir,yes,https://drive.google.com/open?id=1sbo6pdLO674T6WDsH2LKd4qSQa58fmldrw,
Touchez Pas au Grisbi,,1954,France,Jacques Becker,no,https://drive.google.com/open?id=15tnFtkAY_t_agH6Jj4YT6Qir0PRYdaOZnw,
La Pointe-Courte,,1955,France,Agnès Varda,yes,https://drive.google.com/open?id=1GQj2tALtPq5gAZQ5MV6EHatoyHr5P1qf4Q,
Night and Fog,,1955,France,Alain Resnais,yes,https://drive.google.com/open?id=1zvTy93T2Kpi1AJU7NP0zp8X0EoE65juNwg,
A Man Escaped,,1956,France,Robert Bresson,yes,https://drive.google.com/open?id=1jLf8M6YpBO5zeeP1o83ZkiiAfRIedEWLNQ,
Bob le flambeur,,1956,France,Jean-Pierre Melville,yes,https://drive.google.com/open?id=1pTELSgSacslT3xWoj8kSDRHkEadGn5lRCw,
Elena and Her Men,,1956,France,Jean Renoir,no,https://drive.google.com/open?id=1IVU6OlLauf4aUjQxfCrJe0if5n3N16oxig,
The Silent World,,1956,France,Louis Malle,no,https://drive.google.com/file/d/1fE3IEqgHqwfQk43KfZCQGpF89Tt2qbEaNQ/view,
Along the Coast,,1958,France,Agnès Varda,no,https://drive.google.com/file/d/1d59-e67QWbLuE4zdepKRKFTHGn70AUGbAA/view,
Le Beau Serge,,1958,France,Claude Chabrol,yes,https://drive.google.com/open?id=1Tn_9MBfFtleOlMHHg9-D-lyDym6C97CcHg,
Mon Oncle,,1958,France,Jacques Tati,yes,https://drive.google.com/open?id=1msRBOYaK2OA0Dn_UKLdYy12y029wWhtIWA,
A double tour,,1959,France,Claude Chabrol,no,https://drive.google.com/open?id=1xtSx-NptBUtJD367MPlIEZaXB-0HQHXhkQ,
Black Orpheus,,1959,France,Marcel Camus,yes,https://drive.google.com/open?id=16EetLglz-5-gTA4qI6JGESRzjt_aL-k0yQ,
Hiroshima Mon Amour,,1959,France,Alain Resnais,yes,https://drive.google.com/open?id=1FCAzDRwcfyLrTkFFMHvBlO3mcFPcIMvY8w,
Les Cousins,,1959,France,Claude Chabrol,no,https://drive.google.com/open?id=1TEDubXXruRUtQl_YJwAtTC2K7eX26RDzqg,
Pickpocket,,1959,France,Robert Bresson,yes,https://drive.google.com/open?id=148qsAylUekWfmAqwf5OWHbS9yptKsU0htQ,
Picnic on the Grass,,1959,France,Jean Renoir,no,https://drive.google.com/open?id=146AA7bVon_M5f-LrFdol3YJQOYxsmXE5mQ,
The 400 Blows,,1959,France,François Truffaut,yes,https://drive.google.com/open?id=18BNLTiSwX47Xg3kUe47pgDcMSgXr1dpQBg,
Breathless,,1960,France,Jean-Luc Godard,yes,https://drive.google.com/open?id=1S4Z2iiPYTVqxU3zMRuRlwylFJfNu_bhGLQ,
Le Trou,,1960,France,Jacques Becker,yes,https://drive.google.com/open?id=1nGzniAcWSTBz1SIDpjbm2TpAwxikVSYmgA,
Les Bonnes Femmes,,1960,France,Claude Chabrol,yes,https://drive.google.com/open?id=1Mx7zf2mPXP4BvpLyEcF_RysZR47Vo-pyPQ,
Purple Noon,,1960,France,René Clément,yes,https://drive.google.com/open?id=1QGTsmhaLAgznp_AA2KO6BYNvGHzQnbU81Q,
Testament of Orpheus,,1960,France,Jean Cocteau,yes,https://drive.google.com/open?id=1ggBlYZhxRGVnscBWR50OQs7s2blLH8Qfnw,
Zazie dans le metro,,1960,France,Louis Malle,yes,https://drive.google.com/open?id=1l0MZi948tVP3dTWkEp2KNGK2heZ4RmbKlQ,
A Woman Is a Woman,,1961,France,Jean-Luc Godard,yes,https://drive.google.com/open?id=1WmLaDGBQKQEeyyeAMtDeewee6hir4o57ew,
Last Year at Marienbad,,1961,France,Alain Resnais,yes,https://drive.google.com/open?id=1eAN-8ZXEY4cU9u8GwejzBQRMMm8G5NWpAQ,
Leon Morin Priest,,1961,France,Jean-Pierre Melville,yes,https://drive.google.com/open?id=14d74FzkIbAzWUwJaw-FSvaphSPFKAIOj2A,
Lola,,1961,France,Jacques Demy,yes,https://drive.google.com/open?id=17VVVWyj9wlQiDM7JKHWpG_Ps_BQpq-XQpw,
The Long Absence,,1961,France,Henri Colpi,yes,https://drive.google.com/open?id=1kFyjDLmH4VFWNStLlZDjtK7TvZjnMkyE9g,
Cléo from 5 to 7,,1962,France,Agnès Varda,yes,https://drive.google.com/open?id=1jiXmklg75hBv6AX0pkJ3aAf5kaQKDGbH5A,
Jules and Jim,,1962,France,François Truffaut,yes,https://drive.google.com/open?id=1v3VCrwFWcXJ5LqadkrO0AwPxMp5YqVh9Jw,
La Jetee,,1962,France,Chris Marker,yes,https://drive.google.com/open?id=1trOXAjX_XyMUAXex3wGDj0VaAmngokm5cw,
Sundays and Cybele,,1962,France,Serge Bourguignon,yes,https://drive.google.com/open?id=1Z5vbuV0NkK2qxzqUTZPebsm4g3GtRDs7NA,
The Third Lover,,1962,France,Claude Chabrol,no,https://drive.google.com/open?id=1UUgSW4q3jTIxOQmpJYwFf1LTyQXgatFkqw,
The Trial of Joan of Arc,,1962,France,Robert Bresson,yes,https://drive.google.com/open?id=1exvBFcrbrsUh_ciYGUU7jhDwvXKyS9Sisw,
Vivre Sa Vie,,1962,France,Jean-Luc Godard,yes,https://drive.google.com/open?id=1B1gzPdNFryPgckRoJ4mgcGnr2-gpIGhYKw,
Bay of Angels,,1963,France,Jacques Demy,no,https://drive.google.com/file/d/1gRHf_N5TOmZQAtTcs-gmk-2aOdunSv8zNA/view,
Contempt,,1963,France,Jean-Luc Godard,yes,https://drive.google.com/open?id=1UxMjU8ts86-MYo6RWfp8crCzG0xtG4NA-Q,
Les Carabiniers,,1963,France,Jean-Luc Godard,no,https://drive.google.com/open?id=1CjUDuYUJNvWCb8FyicfYY3bO_X1LldN0Dg,
Little Soldier,,1963,France,Jean-Luc Godard,yes,https://drive.google.com/open?id=1ZmvzJw4vK1jg39DCr6D6OcNggNWzqmua-g,
"Muriel, or the Time of Return",,1963,France,Alain Resnais,no,https://drive.google.com/open?id=1cbr5k3cnHHE8SqWBDW_heX1fVVGpC2b6ng,
Suzanne's Career,,1963,France,Éric Rohmer,yes,https://drive.google.com/open?id=1-MJNG_UHqJ7ItuEQaV3ej0d94w5g7MRTUw,
The Bakery Girl of Monceau,,1963,France,Éric Rohmer,yes,https://drive.google.com/open?id=1JS0fcDRrbyj4YIyWS-BUP__pOEY6CTwsoA,
The Fire Within,,1963,France,Louis Malle,yes,https://drive.google.com/open?id=1oLWxns6-T14-L7cJHLIKwPXTH2IFXZD37w,
The Lovely Month of May,,1963,France,Chris Marker,no,https://drive.google.com/open?id=1ERqyDdwyWclJYYC40JV2Zw27Gvzk1p5qSQ,
Band of Outsiders,,1964,France,Jean-Luc Godard,yes,https://drive.google.com/open?id=1j0OmaUfteFpkMnODbRU6lfAhwaLiGndsEQ,
The Married Woman,,1964,France,Jean-Luc Godard,yes,https://drive.google.com/open?id=1CBceEV9ofZEQo70RgbSz-eZK5--R8-RC4A,
The Soft Skin,,1964,France,François Truffaut,yes,https://drive.google.com/open?id=1LM4pEQBXQbsmIel9LUHX0DCYO7tfRlWMAQ,
